General deg, rldeg, rrdeg, fldeg, frdeg,a,b,c,d,f,g,w,z,p,m,gg,sa,asa

0.000780438887886703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.000780438887886703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.000780438887886703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.000780438887886703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.000780438887886703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.000780438887886703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.000780438887886703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.000780438887886703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.000780438887886703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.000780438887886703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.000780438887886703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.000780438887886703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.000780438887886703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.000780438887886703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.000780438887886703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.000780438887886703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.000780438887886703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.000780438887886703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.000780438887886703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.000780438887886703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.0008207344799302518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.001138248830102384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.0013628146843984723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.00236867880448699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.004511646926403046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.011615000665187836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.01902059093117714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.027471425011754036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.03186739981174469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.03707784786820412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.039552707225084305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.039946362376213074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.039946362376213074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.039946362376213074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.04059065505862236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.04605083167552948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.051247112452983856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.06113259494304657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.07852882146835327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.09611266106367111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.11338885873556137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.11787731200456619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.12753434479236603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.19362032413482666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.24926869571208954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.2763923406600952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.2913155257701874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.2965424358844757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.3447919189929962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.3913833796977997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.4339379370212555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.4802670478820801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.5318757891654968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.5866566300392151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.6337609887123108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.6756376028060913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.6936970353126526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.7034926414489746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.7321833372116089,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.734258234500885,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.7351527214050293,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.7364304661750793,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.7364807724952698,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.7364807724952698,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.7488178610801697,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.7974329590797424,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.8308223485946655,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.8524069786071777,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.8753695487976074,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.8976418375968933,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.9141407012939453,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.9144690632820129,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.9380455017089844,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.9641394019126892,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.9768055081367493,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.9873008131980896,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0.9970390200614929,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1.0045615434646606,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.0047292709350586,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.006505012512207,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.0127925872802734,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.022998571395874,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.0746843814849854,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.1201598644256592,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.1566404104232788,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.1944773197174072,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.2326312065124512,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.2745918035507202,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.293920874595642,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.2953147888183594,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.2956331968307495,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.2958577871322632,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.2961585521697998,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

